POLE1,POLE2
2022,1767
2022,1855
2022,1902
2023,1754
2023,1761
2024,1793
2024,1825
2024,1916
2025,1762
2025,1880
2025,1897
2026,1790
2026,1877
2026,1920
2027,1775
2027,1792
2027,1910
2028,1777
2028,1812
2028,1870
2029,1765
2029,1865
2029,1923
2030,1842
2030,1864
2030,1913
2031,1819
2031,1881
2032,1808
2032,1836
2033,1811
2033,1878
2033,1887
2034,1806
2034,1854
2034,1937
2035,1791
2035,1834
2036,1807
2036,1839
2036,1857
2037,2012
2037,2104
2037,2143
2038,1993
2038,2036
2038,2140
2039,2061
2039,2100
2039,2118
2040,1972
2040,1989
2040,2124
2041,2024
2041,2067
2041,2069
2042,1980
2042,2003
2042,2098
2043,2016
2043,2035
2043,2108
2044,1978
2044,2049
2044,2051
2045,2030
2045,2033
2045,2130
2046,1979
2046,2004
2046,2116
2047,2048
2047,2050
2047,2125
2048,2045
2048,2072
2048,2113
2049,1957
2049,1998
2049,2131
2050,1983
2050,2071
2050,2110
2051,2010
2051,2091
2051,2137
2052,1984
2052,1992
2052,2075
2053,2055
2053,2126
2053,2150
2054,2000
2054,2060
2054,2144
2055,2456
2055,2521
2056,2481
2056,2509
2057,2459
2057,2497
2058,2504
2058,2516
2059,2458
2059,2527
2060,2452
2060,2519
2061,2462
2061,2541
2062,2479
2062,2484
2063,2468
2063,2492
2064,2489
2064,2514
2065,2486
2066,2475
2066,2502
2067,2482
2068,2478
2068,2537
2069,2480
2069,2544
2070,2485
2070,2513
2071,2529
2071,2545
2072,2358
2073,2417
2073,2435
2074,2378
2074,2433
2075,2396
2075,2448
2076,2363
2077,2440
2078,2360
2078,2418
2079,2357
2080,2386
2080,2409
2081,2421
2082,2408
2082,2411
2083,2368
2083,2389
2084,2351
2084,2364
2085,2377
2085,2412
2086,2404
2086,2447
2087,2400
2087,2403
2088,2401
2088,2405
2089,2395
2090,576
2090,603
2091,641
2091,702
2092,580
2092,704
2092,706
2093,678
2093,705
2094,697
2094,713
2095,588
2095,606
2095,711
2096,643
2096,680
2096,715
2097,629
2097,651
2098,654
2098,689
2098,709
2099,633
2099,717
2100,668
2100,703
2101,646
2101,649
2101,696
2102,664
2102,684
2103,682
2103,695
2104,688
2104,721
2105,737
2105,783
2105,822
2106,738
2106,773
2107,770
2107,834
2108,790
2108,795
2108,823
2109,762
2109,824
2109,825
2110,739
2110,740
2110,831
2111,750
2111,792
2111,802
2112,796
2112,818
2113,742
2113,820
2114,744
2114,774
2115,769
2115,772
2115,794
2116,753
2116,787
2116,793
2117,779
2117,814
2117,827
2118,1251
2118,1448
2118,1457
2118,1591
2119,1266
2119,1397
2119,1407
2120,1316
2120,1366
2120,1436
2120,1605
2121,1372
2121,1390
2121,1600
2122,1342
2122,1444
2122,1464
2123,1281
2123,1329
2123,1338
2124,1459
2124,1473
2124,1491
2125,1291
2125,1393
2125,1442
2125,1642
2126,1349
2126,1486
2126,1583
2127,1309
2127,1333
2127,1369
2127,1592
2128,1410
2128,1528
2128,1533
2128,1633
2129,1286
2129,1422
2129,1443
2129,1564
2130,1477
2130,1546
2130,1553
2130,1641
2131,1301
2131,1314
2131,1371
2132,1289
2132,1388
2132,1476
2133,1324
2133,1377
2133,1392
2133,1596
2134,1374
2134,1421
2134,1461
2134,1566
2135,2267
2135,2368
2135,2372
2136,2248
2136,2294
2136,2347
2136,2403
2137,2327
2137,2397
2137,2435
2138,2265
2138,2280
2138,2364
2138,2374
2139,2346
2139,2360
2139,2411
2140,2257
2140,2296
2140,2352
2140,2363
2141,2289
2141,2361
2141,2449
2142,2281
2142,2399
2142,2402
2142,2422
2143,2312
2143,2342
2143,2365
2143,2445
2144,2314
2144,2334
2144,2447
2145,2249
2145,2284
2145,2338
2145,2430
2146,2285
2146,2286
2146,2339
2146,2408
2147,2320
2147,2353
2147,2379
2147,2443
2148,2305
2148,2375
2148,2404
2149,2272
2149,2282
2149,2392
2149,2425
2150,2301
2150,2304
2150,2391
2151,3172
2151,3206
2151,3420
2151,3506
2152,2916
2152,2953
2152,3125
2152,3233
2153,2969
2153,3254
2153,3363
2154,3210
2154,3340
2154,3344
2154,3365
2155,2923
2155,2928
2155,3120
2155,3180
2156,3097
2156,3130
2156,3169
2156,3449
2157,2921
2157,3098
2157,3205
2157,3412
2158,3232
2158,3327
2158,3356
2158,3427
2159,3244
2159,3297
2159,3385
2159,3458
2160,3253
2160,3349
2160,3368
2160,3413
2161,3271
2161,3286
2161,3348
2161,3419
2162,3115
2162,3285
2162,3353
2162,3507
2163,3028
2163,3280
2163,3404
2163,3498
2164,3010
2164,3034
2164,3245
2164,3266
2165,3011
2165,3047
2165,3287
2165,3382
2166,3084
2166,3191
2166,3248
2166,3453
2167,2957
2167,3184
2167,3256
2167,3467
2168,3204
2168,3238
2168,3314
2168,3398
2169,2918
2169,3321
2169,3424
2169,3470
2170,3049
2170,3216
2170,3436
2170,3492
2171,3101
2171,3156
2171,3304
2171,3487
2172,2992
2172,3177
2172,3401
2173,2732
2173,2761
2174,2750
2174,2783
2175,2883
2176,2751
2176,2767
2177,2846
2177,2872
2178,2742
2178,2800
2179,2779
